scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Belgium;BEL
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Botswana;BWA
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Congo, The Democratic Republic of the;COD
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Egypt;EGY
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Gabon;GAB
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Hungary;HUN
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;India;IND
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Iran, Islamic Republic of;IRN
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Japan;JPN
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Kazakhstan;KAZ
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Mexico;MEX
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Namibia;NAM
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Sierra Leone;SLE
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;South Africa;ZAF
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Spain;ESP
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;United Arab Emirates;ARE
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;United Kingdom;GBR
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;United States;USA
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Zimbabwe;ZWE
Ailuropoda melanoleuca;24;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;China;CHN
Ailuropoda melanoleuca;9;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;United States;USA
Ailuropoda melanoleuca;3;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;India;IND
Ailuropoda melanoleuca;2;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Australia;AUS
Ailuropoda melanoleuca;2;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Hong Kong;HKG
Ailuropoda melanoleuca;2;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Myanmar;MMR
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Bhutan;BTN
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Brazil;BRA
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Canada;CAN
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;France;FRA
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Japan;JPN
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Korea, Republic of;KOR
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Lao People's Democratic Republic;LAO
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Luxembourg;LUX
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Nepal;NPL
Ailuropoda melanoleuca;1;33;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;Netherlands;NLD
