scientific_name;Countries;Countries
Dicerorhinus sumatrensis;Afghanistan;1
Dicerorhinus sumatrensis;Australia;1
Dicerorhinus sumatrensis;Brunei;1
Dicerorhinus sumatrensis;France;1
Dicerorhinus sumatrensis;Guam;1
Dicerorhinus sumatrensis;Haiti;1
Dicerorhinus sumatrensis;Iran;1
Dicerorhinus sumatrensis;Italy;1
Dicerorhinus sumatrensis;Kenya;1
Dicerorhinus sumatrensis;Laos;1
Dicerorhinus sumatrensis;New Zealand;1
Dicerorhinus sumatrensis;Rwanda;1
Dicerorhinus sumatrensis;Slovenia;1
Dicerorhinus sumatrensis;Sudan;1
Dicerorhinus sumatrensis;Zambia;1
Diceros bicornis;South Africa;16
Diceros bicornis;Kenya;13
Diceros bicornis;Tanzania;13
Diceros bicornis;Rwanda;10
Diceros bicornis;Malawi;8
Diceros bicornis;China;7
Diceros bicornis;Namibia;7
Diceros bicornis;Vietnam;7
Diceros bicornis;Zimbabwe;7
Diceros bicornis;Chad;4
Diceros bicornis;Iraq;4
Diceros bicornis;France;3
Diceros bicornis;Botswana;2
Diceros bicornis;Afghanistan;1
Diceros bicornis;Australia;1
Diceros bicornis;Denmark;1
Diceros bicornis;Guinea;1
Diceros bicornis;Hong Kong;1
Diceros bicornis;India;1
Diceros bicornis;Japan;1
Diceros bicornis;Liberia;1
Diceros bicornis;Russia;1
Diceros bicornis;Seychelles;1
Diceros bicornis;Singapore;1
Diceros bicornis;Taiwan;1
Diceros bicornis;Uganda;1
Diceros bicornis;Zambia;1
Elephas maximus;India;100
Elephas maximus;China;58
Elephas maximus;Thailand;58
Elephas maximus;Laos;48
Elephas maximus;Myanmar;26
Elephas maximus;Cambodia;18
Elephas maximus;Sri Lanka;11
Elephas maximus;Pakistan;10
Elephas maximus;Nepal;8
Elephas maximus;Bhutan;7
Elephas maximus;Bangladesh;6
Elephas maximus;Belgium;4
Elephas maximus;Botswana;4
Elephas maximus;Malaysia;3
Elephas maximus;Argentina;2
Elephas maximus;Brazil;2
Elephas maximus;Indonesia;2
Elephas maximus;Kenya;2
Elephas maximus;Netherlands;2
Elephas maximus;South Africa;2
Elephas maximus;Uganda;2
Elephas maximus;Australia;1
Elephas maximus;Canada;1
Elephas maximus;Colombia;1
Elephas maximus;Germany;1
Elephas maximus;Hungary;1
Elephas maximus;Ireland;1
Elephas maximus;Japan;1
Elephas maximus;Mongolia;1
Elephas maximus;Namibia;1
Elephas maximus;Russia;1
Elephas maximus;Singapore;1
Elephas maximus;Sweden;1
Elephas maximus;Taiwan;1
Elephas maximus;Tanzania;1
Elephas maximus;Turkey;1
Elephas maximus;Vietnam;1
Elephas maximus;Zimbabwe;1
Equus grevyi;Kenya;104
Equus grevyi;Ethiopia;23
Equus grevyi;South Africa;8
Equus grevyi;Bangladesh;4
Equus grevyi;Somalia;4
Equus grevyi;Tanzania;4
Equus grevyi;Angola;3
Equus grevyi;Namibia;3
Equus grevyi;Uganda;3
Equus grevyi;Canada;2
Equus grevyi;Nigeria;2
Equus grevyi;Senegal;2
Equus grevyi;Sudan;2
Equus grevyi;Zimbabwe;2
Equus grevyi;Benin;1
Equus grevyi;Botswana;1
Equus grevyi;China;1
Equus grevyi;Costa Rica;1
Equus grevyi;Djibouti;1
Equus grevyi;Ecuador;1
Equus grevyi;Egypt;1
Equus grevyi;France;1
Equus grevyi;India;1
Equus grevyi;Japan;1
Equus grevyi;Myanmar;1
Equus grevyi;Nepal;1
Equus grevyi;Peru;1
Equus grevyi;Sweden;1
Equus grevyi;Switzerland;1
Equus grevyi;United Kingdom;1
Equus grevyi;Uzbekistan;1
Equus grevyi;Zambia;1
Eschrichtius robustus;Mexico;81
Eschrichtius robustus;Canada;14
Eschrichtius robustus;Brazil;3
Eschrichtius robustus;Russia;3
Eschrichtius robustus;China;2
Eschrichtius robustus;New Zealand;2
Eschrichtius robustus;Australia;1
Eschrichtius robustus;Belarus;1
Eschrichtius robustus;Ecuador;1
Eschrichtius robustus;Georgia;1
Eschrichtius robustus;Indonesia;1
Eschrichtius robustus;Malta;1
Eschrichtius robustus;Peru;1
Eschrichtius robustus;Philippines;1
Eschrichtius robustus;Sweden;1
Eschrichtius robustus;United States;1
Eschrichtius robustus;Vietnam;1
Eubalaena australis;Australia;34
Eubalaena australis;New Zealand;27
Eubalaena australis;Argentina;5
Eubalaena australis;Canada;5
Eubalaena australis;Chile;4
Eubalaena australis;Denmark;2
Eubalaena australis;Greenland;2
Eubalaena australis;South Africa;2
Eubalaena australis;Brazil;1
Eubalaena australis;Iceland;1
Eubalaena australis;Japan;1
Eubalaena australis;Norway;1
Eubalaena australis;Peru;1
Eubalaena glacialis;Canada;30
Eubalaena glacialis;Georgia;18
Eubalaena glacialis;Japan;7
Eubalaena glacialis;Denmark;3
Eubalaena glacialis;Kenya;3
Eubalaena glacialis;Mexico;3
Eubalaena glacialis;Spain;3
Eubalaena glacialis;Australia;2
Eubalaena glacialis;New Zealand;2
Eubalaena glacialis;Tanzania;2
Eubalaena glacialis;Argentina;1
Eubalaena glacialis;China;1
Eubalaena glacialis;France;1
Eubalaena glacialis;Iceland;1
Eubalaena glacialis;Italy;1
Eubalaena glacialis;Madagascar;1
Eubalaena glacialis;Norway;1
Eubalaena glacialis;Philippines;1
Eubalaena glacialis;Russia;1
Eubalaena glacialis;Seychelles;1
Eubalaena glacialis;South Africa;1
Eubalaena glacialis;United States;1
Eubalaena japonica;India;9
Eubalaena japonica;Canada;6
Eubalaena japonica;Australia;5
Eubalaena japonica;Mexico;4
Eubalaena japonica;Denmark;2
Eubalaena japonica;Brazil;1
Eubalaena japonica;Chile;1
Eubalaena japonica;China;1
Eubalaena japonica;Cyprus;1
