scientific_name;Countries;Countries
Alouatta palliata;('South Africa', 'ZAF');1
Alouatta palliata;('Spain', 'ESP');1
Alouatta palliata;('Tanzania, United Republic of', 'TZA');1
Alouatta palliata;('Thailand', 'THA');1
Alouatta palliata;('Viet Nam', 'VNM');1
Alouatta pigra;('Mexico', 'MEX');4
Alouatta pigra;('Guatemala', 'GTM');3
Alouatta pigra;('Australia', 'AUS');1
Alouatta pigra;('Bahamas', 'BHS');1
Alouatta pigra;('Belize', 'BLZ');1
Alouatta pigra;('Brazil', 'BRA');1
Alouatta pigra;('Colombia', 'COL');1
Alouatta pigra;('Greenland', 'GRL');1
Alouatta pigra;('Guinea', 'GIN');1
Alouatta pigra;('Indonesia', 'IDN');1
Alouatta pigra;('Japan', 'JPN');1
Alouatta pigra;('Macao', 'MAC');1
Alouatta pigra;('Madagascar', 'MDG');1
Alouatta pigra;('New Caledonia', 'NCL');1
Alouatta pigra;('New Zealand', 'NZL');1
Alouatta pigra;('Nicaragua', 'NIC');1
Alouatta pigra;('Philippines', 'PHL');1
Alouatta pigra;('Sri Lanka', 'LKA');1
Altiphrynoides osgoodi;('United States', 'USA');2
Amazona arausiaca;('Belize', 'BLZ');2
Amazona arausiaca;('Dominica', 'DMA');2
Amazona arausiaca;('Costa Rica', 'CRI');1
Amazona arausiaca;('Japan', 'JPN');1
Amazona arausiaca;('Martinique', 'MTQ');1
Amazona arausiaca;('United States', 'USA');1
Amazona auropalliata;('United States', 'USA');6
Amazona auropalliata;('Australia', 'AUS');3
Amazona auropalliata;('Costa Rica', 'CRI');3
Amazona auropalliata;('El Salvador', 'SLV');3
Amazona auropalliata;('Guatemala', 'GTM');3
Amazona auropalliata;('India', 'IND');3
Amazona auropalliata;('Mexico', 'MEX');3
Amazona auropalliata;('Singapore', 'SGP');3
Amazona auropalliata;('Honduras', 'HND');2
Amazona auropalliata;('Macao', 'MAC');2
Amazona auropalliata;('Nicaragua', 'NIC');2
Amazona auropalliata;('Panama', 'PAN');2
Amazona auropalliata;('Belize', 'BLZ');1
Amazona auropalliata;('Cayman Islands', 'CYM');1
Amazona auropalliata;('China', 'CHN');1
Amazona auropalliata;('Guinea', 'GIN');1
Amazona auropalliata;('Indonesia', 'IDN');1
Amazona auropalliata;('Jamaica', 'JAM');1
Amazona auropalliata;('Jersey', 'JEY');1
Amazona auropalliata;('Madagascar', 'MDG');1
Amazona auropalliata;('Malaysia', 'MYS');1
Amazona auropalliata;('Netherlands', 'NLD');1
Amazona auropalliata;('Thailand', 'THA');1
Amazona auropalliata;('Turkey', 'TUR');1
Amazona auropalliata;('United Kingdom', 'GBR');1
Amazona auropalliata;('Venezuela, Bolivarian Republic of', 'VEN');1
Amazona barbadensis;('Venezuela, Bolivarian Republic of', 'VEN');4
Amazona barbadensis;('Argentina', 'ARG');3
Amazona barbadensis;('Madagascar', 'MDG');3
Amazona barbadensis;('Bonaire, Sint Eustatius and Saba', 'BES');2
Amazona barbadensis;('Bulgaria', 'BGR');2
Amazona barbadensis;('Colombia', 'COL');2
Amazona barbadensis;('Costa Rica', 'CRI');2
Amazona barbadensis;('Ghana', 'GHA');2
Amazona barbadensis;('Indonesia', 'IDN');2
Amazona barbadensis;('United States', 'USA');2
Amazona barbadensis;('Aruba', 'ABW');1
Amazona barbadensis;('Brazil', 'BRA');1
Amazona barbadensis;('Curaçao', 'CUW');1
Amazona barbadensis;('Ecuador', 'ECU');1
Amazona barbadensis;('Guyana', 'GUY');1
Amazona barbadensis;('Mozambique', 'MOZ');1
Amazona barbadensis;('Panama', 'PAN');1
Amazona barbadensis;('Puerto Rico', 'PRI');1
Amazona barbadensis;('Switzerland', 'CHE');1
Amazona barbadensis;('United Kingdom', 'GBR');1
Amazona brasiliensis;('United States', 'USA');2
Amazona brasiliensis;('Turkey', 'TUR');1
Amazona finschi;('United States', 'USA');3
Amazona finschi;('Mexico', 'MEX');2
Amazona finschi;('India', 'IND');1
Amazona guildingii;('Australia', 'AUS');2
Amazona guildingii;('Belgium', 'BEL');2
Amazona guildingii;('Dominica', 'DMA');2
Amazona guildingii;('Germany', 'DEU');2
Amazona guildingii;('Grenada', 'GRD');2
Amazona guildingii;('Palau', 'PLW');2
Amazona guildingii;('United States', 'USA');2
Amazona guildingii;('Barbados', 'BRB');1
Amazona guildingii;('Brazil', 'BRA');1
Amazona guildingii;('China', 'CHN');1
Amazona guildingii;('Cuba', 'CUB');1
Amazona guildingii;('Greece', 'GRC');1
Amazona guildingii;('Guyana', 'GUY');1
Amazona guildingii;('Honduras', 'HND');1
Amazona guildingii;('Italy', 'ITA');1
Amazona guildingii;('Malaysia', 'MYS');1
Amazona guildingii;('Mexico', 'MEX');1
Amazona guildingii;('Qatar', 'QAT');1
Amazona guildingii;('Saint Lucia', 'LCA');1
Amazona guildingii;('Slovenia', 'SVN');1
Amazona guildingii;('United Kingdom', 'GBR');1
Amazona guildingii;('Venezuela, Bolivarian Republic of', 'VEN');1
Amazona guildingii;('Viet Nam', 'VNM');1
Amazona imperialis;('United States', 'USA');6
Amazona imperialis;('Dominica', 'DMA');4
Amazona imperialis;('Germany', 'DEU');3
Amazona imperialis;('Netherlands', 'NLD');2
