scientific_name;Countries;mentions_country;article_cnt
Amazona imperialis;cuba;1;5
Amazona imperialis;cyprus;1;5
Amazona imperialis;denmark;1;5
Amazona imperialis;israel;1;5
Amazona imperialis;mexico;1;5
Amazona imperialis;montserrat;1;5
Amazona imperialis;netherlands;1;5
Amazona imperialis;puerto rico;1;5
Amazona imperialis;qatar;1;5
Amazona imperialis;saint lucia;1;5
Amazona imperialis;south africa;1;5
Amazona imperialis;spain;1;5
Amazona imperialis;switzerland;1;5
Amazona imperialis;united states;1;5
Amazona leucocephala;india;3;10
Amazona leucocephala;australia;1;10
Amazona leucocephala;bahamas;1;10
Amazona leucocephala;bhutan;1;10
Amazona leucocephala;brazil;1;10
Amazona leucocephala;canada;1;10
Amazona leucocephala;greece;1;10
Amazona leucocephala;jordan;1;10
Amazona leucocephala;mexico;1;10
Amazona leucocephala;mozambique;1;10
Amazona leucocephala;myanmar;1;10
Amazona leucocephala;panama;1;10
Amazona leucocephala;peru;1;10
Amazona leucocephala;puerto rico;1;10
Amazona leucocephala;south africa;1;10
Amazona leucocephala;spain;1;10
Amazona leucocephala;tanzania;1;10
Amazona oratrix;belize;4;26
Amazona oratrix;mexico;3;26
Amazona oratrix;australia;2;26
Amazona oratrix;canada;2;26
Amazona oratrix;new zealand;2;26
Amazona oratrix;china;1;26
Amazona oratrix;mongolia;1;26
Amazona oratrix;taiwan;1;26
Amazona oratrix;turkey;1;26
Amazona pretrei;brazil;4;5
Amazona pretrei;china;3;5
Amazona pretrei;india;3;5
Amazona pretrei;australia;2;5
Amazona pretrei;canada;2;5
Amazona pretrei;costa rica;1;5
Amazona pretrei;france;1;5
Amazona pretrei;germany;1;5
Amazona pretrei;ghana;1;5
Amazona pretrei;indonesia;1;5
Amazona pretrei;japan;1;5
Amazona pretrei;kazakhstan;1;5
Amazona pretrei;malaysia;1;5
Amazona pretrei;mexico;1;5
Amazona pretrei;mongolia;1;5
Amazona pretrei;new caledonia;1;5
Amazona pretrei;new zealand;1;5
Amazona pretrei;poland;1;5
Amazona pretrei;russia;1;5
Amazona pretrei;south africa;1;5
Amazona pretrei;turkmenistan;1;5
Amazona pretrei;uzbekistan;1;5
Amazona pretrei;venezuela;1;5
Amazona rhodocorytha;brazil;1;1
Amazona rhodocorytha;brunei;1;1
Amazona rhodocorytha;iceland;1;1
Amazona rhodocorytha;indonesia;1;1
Amazona rhodocorytha;kenya;1;1
Amazona rhodocorytha;lebanon;1;1
Amazona rhodocorytha;malaysia;1;1
Amazona rhodocorytha;mongolia;1;1
Amazona rhodocorytha;papua new guinea;1;1
Amazona rhodocorytha;peru;1;1
Amazona rhodocorytha;tanzania;1;1
Amazona versicolor;indonesia;1;5
Amazona versicolor;philippines;1;5
Amazona versicolor;saint lucia;1;5
Amazona versicolor;uganda;1;5
Amazona vinacea;brazil;2;2
Amazona vinacea;austria;1;2
Amazona vinacea;germany;1;2
Amazona vinacea;paraguay;1;2
Amazona vinacea;qatar;1;2
Amazona vinacea;spain;1;2
Amazona viridigenalis;mexico;13;21
Amazona viridigenalis;australia;3;21
Amazona viridigenalis;china;2;21
Amazona viridigenalis;colombia;2;21
Amazona viridigenalis;ecuador;2;21
Amazona viridigenalis;peru;2;21
Amazona viridigenalis;brazil;1;21
Amazona viridigenalis;canada;1;21
Amazona viridigenalis;guam;1;21
Amazona viridigenalis;india;1;21
Amazona viridigenalis;kenya;1;21
Amazona viridigenalis;macao;1;21
Amazona viridigenalis;madagascar;1;21
Amazona viridigenalis;mauritius;1;21
Amazona viridigenalis;puerto rico;1;21
Amazona viridigenalis;tanzania;1;21
Amazona viridigenalis;united states;1;21
Amazona vittata;puerto rico;11;20
Amazona vittata;australia;2;20
Amazona vittata;peru;2;20
Amazona vittata;bahamas;1;20
Amazona vittata;bolivia;1;20
Amazona vittata;canada;1;20
Amazona vittata;costa rica;1;20
Amazona vittata;cuba;1;20
Amazona vittata;greece;1;20
Amazona vittata;indonesia;1;20
Amazona vittata;japan;1;20
Amazona vittata;mexico;1;20
Amazona vittata;new zealand;1;20
Amazona vittata;papua new guinea;1;20
Amazona vittata;romania;1;20
Amazona vittata;saudi arabia;1;20
Amazona vittata;south africa;1;20
Amazona vittata;switzerland;1;20
Anas aucklandica;new zealand;12;26
Anas aucklandica;canada;1;26
Anas aucklandica;japan;1;26
Anas aucklandica;russia;1;26
Anas aucklandica;taiwan;1;26
Anas laysanensis;australia;1;14
Anas laysanensis;canada;1;14
Anas laysanensis;colombia;1;14
Anas laysanensis;cuba;1;14
Anas laysanensis;ecuador;1;14
Anas laysanensis;france;1;14
Anas laysanensis;guam;1;14
Anas laysanensis;indonesia;1;14
Anas laysanensis;japan;1;14
Anas laysanensis;peru;1;14
Anas laysanensis;switzerland;1;14
Anas laysanensis;tanzania;1;14
Anas laysanensis;venezuela;1;14
Anas nesiotis;new zealand;3;7
Anas nesiotis;canada;2;7
Anas nesiotis;australia;1;7
Anas nesiotis;china;1;7
Anas nesiotis;ecuador;1;7
Anas nesiotis;russia;1;7
Andrias davidianus;china;25;38
Andrias davidianus;japan;7;38
Andrias davidianus;germany;5;38
Andrias davidianus;vietnam;5;38
Andrias davidianus;cameroon;3;38
Andrias davidianus;france;3;38
Andrias davidianus;laos;3;38
Andrias davidianus;bahamas;2;38
Andrias davidianus;cambodia;2;38
Andrias davidianus;canada;2;38
Andrias davidianus;hong kong;2;38
Andrias davidianus;madagascar;2;38
Andrias davidianus;mexico;2;38
Andrias davidianus;peru;2;38
Andrias davidianus;argentina;1;38
Andrias davidianus;australia;1;38
Andrias davidianus;bolivia;1;38
Andrias davidianus;brazil;1;38
Andrias davidianus;fiji;1;38
Andrias davidianus;gabon;1;38
Andrias davidianus;ghana;1;38
Andrias davidianus;iceland;1;38
Andrias davidianus;india;1;38
Andrias davidianus;indonesia;1;38
Andrias davidianus;ivory coast;1;38
Andrias davidianus;kenya;1;38
Andrias davidianus;malaysia;1;38
Andrias davidianus;myanmar;1;38
Andrias davidianus;nepal;1;38
Andrias davidianus;nigeria;1;38
Andrias davidianus;russia;1;38
Andrias davidianus;south africa;1;38
Andrias davidianus;taiwan;1;38
Andrias davidianus;tanzania;1;38
Andrias davidianus;thailand;1;38
Andrias davidianus;turkmenistan;1;38
Andrias japonicus;japan;3;12
Andrias japonicus;china;1;12
Andrias japonicus;egypt;1;12
Andrias japonicus;germany;1;12
Andrias japonicus;haiti;1;12
Andrias japonicus;iran;1;12
Andrias japonicus;italy;1;12
Andrias japonicus;malta;1;12
Andrias japonicus;mongolia;1;12
Andrias japonicus;netherlands;1;12
Anodorhynchus glaucus;brazil;15;17
Anodorhynchus glaucus;germany;4;17
Anodorhynchus glaucus;qatar;4;17
Anodorhynchus glaucus;singapore;4;17
Anodorhynchus glaucus;argentina;3;17
Anodorhynchus glaucus;uruguay;3;17
Anodorhynchus glaucus;bolivia;2;17
Anodorhynchus glaucus;colombia;2;17
Anodorhynchus glaucus;paraguay;2;17
Anodorhynchus glaucus;peru;2;17
Anodorhynchus glaucus;russia;2;17
Anodorhynchus glaucus;austria;1;17
Anodorhynchus glaucus;botswana;1;17
Anodorhynchus glaucus;chile;1;17
Anodorhynchus glaucus;china;1;17
Anodorhynchus glaucus;guatemala;1;17
Anodorhynchus glaucus;india;1;17
Anodorhynchus glaucus;kenya;1;17
Anodorhynchus glaucus;new caledonia;1;17
Anodorhynchus glaucus;puerto rico;1;17
Anodorhynchus glaucus;saudi arabia;1;17
Anodorhynchus glaucus;south africa;1;17
Anodorhynchus glaucus;venezuela;1;17
Anodorhynchus hyacinthinus;brazil;15;25
Anodorhynchus hyacinthinus;bolivia;10;25
Anodorhynchus hyacinthinus;paraguay;5;25
Anodorhynchus hyacinthinus;costa rica;4;25
Anodorhynchus hyacinthinus;argentina;3;25
Anodorhynchus hyacinthinus;mexico;3;25
Anodorhynchus hyacinthinus;peru;3;25
Anodorhynchus hyacinthinus;canada;2;25
Anodorhynchus hyacinthinus;ecuador;2;25
Anodorhynchus hyacinthinus;singapore;2;25
Anodorhynchus hyacinthinus;australia;1;25
Anodorhynchus hyacinthinus;austria;1;25
Anodorhynchus hyacinthinus;bangladesh;1;25
Anodorhynchus hyacinthinus;china;1;25
Anodorhynchus hyacinthinus;colombia;1;25
Anodorhynchus hyacinthinus;france;1;25
Anodorhynchus hyacinthinus;germany;1;25
Anodorhynchus hyacinthinus;honduras;1;25
