scientific_name;GPE;GPE
Balaenoptera bonaerensis;Japan;23
Balaenoptera bonaerensis;Australia;13
Balaenoptera bonaerensis;Palumbi;5
Balaenoptera bonaerensis;London;3
Balaenoptera bonaerensis;Taiji;3
Balaenoptera bonaerensis;Barrow Haven;2
Balaenoptera bonaerensis;Brazil;2
Balaenoptera bonaerensis;Norway;2
Balaenoptera bonaerensis;U.S.;2
Balaenoptera bonaerensis;Alaska;1
Balaenoptera bonaerensis;Barrow;1
Balaenoptera bonaerensis;California;1
Balaenoptera bonaerensis;Chile;1
Balaenoptera bonaerensis;England;1
Balaenoptera bonaerensis;France;1
Balaenoptera bonaerensis;Germany;1
Balaenoptera bonaerensis;Iceland;1
Balaenoptera bonaerensis;Jaera;1
Balaenoptera bonaerensis;LONDON;1
Balaenoptera bonaerensis;Mobile;1
Balaenoptera bonaerensis;Naturwissenschaften;1
Balaenoptera bonaerensis;Oregon;1
Balaenoptera bonaerensis;Puerto;1
Balaenoptera bonaerensis;R.R.S.;1
Balaenoptera bonaerensis;Santiago;1
Balaenoptera bonaerensis;South Sandwich Islands;1
Balaenoptera bonaerensis;Tokyo;1
Balaenoptera bonaerensis;U.K.;1
Balaenoptera bonaerensis;UK;1
Balaenoptera borealis;Japan;66
Balaenoptera borealis;Getty;28
Balaenoptera borealis;China;14
Balaenoptera borealis;New York;11
Balaenoptera borealis;New Jersey;9
Balaenoptera borealis;Thailand;9
Balaenoptera borealis;Hong Kong;8
Balaenoptera borealis;the Jersey Shore;8
Balaenoptera borealis;the United States;7
Balaenoptera borealis;Belgium;6
Balaenoptera borealis;Berlin;6
Balaenoptera borealis;Laguna Beach;6
Balaenoptera borealis;New York City;6
Balaenoptera borealis;Salt;6
Balaenoptera borealis;Seoul;6
Balaenoptera borealis;South Korea;6
Balaenoptera borealis;Wuhan;6
Balaenoptera borealis;Colombia;5
Balaenoptera borealis;Galveston;5
Balaenoptera borealis;Italy;5
Balaenoptera borealis;Paris;5
Balaenoptera borealis;Brazil;4
Balaenoptera borealis;California;4
Balaenoptera borealis;France;4
Balaenoptera borealis;Geneva;4
Balaenoptera borealis;India;4
Balaenoptera borealis;Indonesia;4
